"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","SGIP1",1501.07944419983,-0.272096506448109,0.145267498254544,1,1
"2","NECAP2",381.788855691492,0.12811812763016,0.134895353787239,1,1
"3","AZIN2",388.239583588809,-0.11839153015964,0.137223331193475,1,1
"4","AGBL4",181.497772576421,-0.212809952746106,0.199932081022605,1,1
"5","CLIC4",1834.49086258711,0.0392856405198501,0.180551087079616,1,1
"6","SLC45A1",273.687021761747,-0.3583706917464,0.172945736243712,1,1
"7","TGFBR3",484.475478678135,0.0948934189981744,0.135829379903182,1,1
"8","DBT",639.7263888505,-0.0225763574337431,0.10797551485319,1,1
"9","PRUNE1",272.272601110313,0.115167258156464,0.0929680091055496,1,1
"10","C1orf21",2103.99789280708,-0.010195119140643,0.144325760103715,1,1
"11","RFWD2",550.116523383961,-0.0439386871546664,0.0674310698537688,1,1
"12","LIN9",43.4238701154965,0.176100909585585,0.135306389073305,1,1
"13","PRKCZ",1392.81293361554,0.0119806252250708,0.118514508080737,1,1
"14","PRDM16",614.45581258605,0.0345068709140527,0.152607350415484,1,1
"15","ICMT",639.864402427335,0.133875055750805,0.0969755119318296,1,1
"16","CAMTA1",2332.37304154359,-0.198779147593715,0.156078293264441,1,1
"17","C1orf159",212.94914365727,-0.0860392136325128,0.130525064176007,1,1
"18","PRAMEF18",0,0,0.238584144831736,NA,NA
"19","PRAMEF10",0,0,0.238584144831736,NA,NA
"20","PRAMEF33P",0,0,0.238584144831736,NA,NA
"21","PINK1-AS",67.634481418808,0.0609286281971304,0.132419846706593,1,1
"22","EPHB2",346.231921653062,-0.0456344649723911,0.122205170977836,1,1
"23","LOC105378614",1.05936108684978,-0.0386186300133151,0.212638409042148,1,1
"24","PINK1",1431.95144769847,-0.0843655132163952,0.117484226576303,1,1
"25","USP48",1088.02725918512,0.0464443388023328,0.0913331969023128,1,1
"26","STMN1",4104.42823379177,-0.176254847575194,0.152733564703959,1,1
"27","NUDC",1257.33702020937,-0.0831778025252466,0.125458031624835,1,1
"28","EPB41",491.477411798509,0.206212389499109,0.1597623095377,1,1
"29","PUM1",2155.67046727038,0.0403603188568994,0.0892616110665911,1,1
"30","KHDRBS1",1225.84333066463,-0.205778829423662,0.107565531573809,1,1
"31","EYA3",528.412769351732,0.157332672924149,0.0842561300689249,1,1
"32","SFPQ",2736.28601358936,0.024274046253009,0.0990329188231658,1,1
"33","THRAP3",1928.23715203795,-0.141622490091282,0.0842939983953396,1,1
"34","MACF1",23298.1753147679,0.105017585467438,0.102175039792633,1,1
"35","CSMD2",1294.2578312329,0.102201873950082,0.109793472098916,1,1
"36","RNF220",2494.24925048472,0.202296564103674,0.160426227072455,1,1
"37","TRABD2B",11.3905614978918,0.0786067461859568,0.190533198869027,1,1
"38","PTPRF",4700.9721889753,-0.0655710015430444,0.097762730205113,1,1
"39","GPBP1L1",971.590329479696,0.150467927908863,0.111130489822643,1,1
"40","TCEANC2",277.48084035557,0.0908464742172214,0.152638456658278,1,1
"41","DAB1",234.421430531146,-0.0458615055888473,0.156662804803721,1,1
"42","RAB3B",964.273223037389,-0.0695605203851242,0.181244970541634,1,1
"43","SCP2",659.334756413199,-0.179117506282582,0.10233653932245,1,1
"44","FAF1",793.517160825271,-0.0211268151607585,0.0848304776344687,1,1
"45","USP24",2261.13669061339,0.122575024568511,0.0760448349623403,1,1
"46","FGGY",298.911600222717,0.054045045670591,0.13127249510249,1,1
"47","CACHD1",867.31805393718,-0.042340756289114,0.154239154554448,1,1
"48","USP1",426.820497535404,0.112563306307308,0.12649062590564,1,1
"49","ITGB3BP",52.499546896161,-0.0989370971614555,0.147849098651923,1,1
"50","LEPR",176.682106055287,-0.0334900191635298,0.143737712002226,1,1
"51","NFIA",3003.72312461634,0.160304016257981,0.137096410785787,1,1
"52","NEGR1",1296.57453121186,-0.162415184663799,0.185869788461484,1,1
"53","LRRC7",2503.65418432104,-0.195012874705975,0.143436250746031,1,1
"54","ST6GALNAC3",190.153367181769,0.151319586375799,0.160422384223248,1,1
"55","PIGK",312.307433670798,-0.0638461317492318,0.155051371564009,1,1
"56","CLCA4",113.65396352783,0.272123344735483,0.34537358097146,0.437726159249094,1
"57","LRRC8C",421.828955534654,0.0205443160770915,0.129480605522915,1,1
"58","PKN2-AS1",18.5049628423282,-0.503122139991724,0.325953383168645,0.947976016494426,1
"59","DDAH1",2406.15984208188,-0.186018793226448,0.160519818885517,1,1
"60","LOC729970",77.4749816245999,-0.133700236407527,0.124605393385206,1,1
"61","LOC102723661",0.208426688501584,0.00321514192301532,0.234880183507877,1,1
"62","FAM69A",431.088799044492,-0.0380801065489512,0.148294540106994,1,1
"63","GCLM",301.532441031835,-0.131735193636979,0.129405536706468,1,1
"64","NTNG1",192.515180952927,-0.141706585837154,0.159017934713943,1,1
"65","PHTF1",354.193758133443,0.0243847189519649,0.13334456429114,1,1
"66","GNAI3",456.309725548776,0.00187590562964879,0.10447497428092,1,1
"67","KCNA2",977.885666094646,-0.0908781992398176,0.174518304192445,1,1
"68","RAP1A",650.198735680575,0.186261850608065,0.159758209353296,1,1
"69","RHOC",840.596352110595,-0.0404924641965786,0.134060736562671,1,1
"70","NOTCH2",3515.8348253435,0.133453907622058,0.142575831820365,1,1
"71","WDR3",248.286749207618,-0.211641469528127,0.111530161923335,1,1
"72","LOC101927429",0.22787683636353,-0.0271533388028738,0.232154481356957,0.841260806113357,1
"73","OTUD7B",2155.64828079472,0.143241115321484,0.178167733991605,1,1
"74","NBPF9",2.71317826073012,0.169432288358548,0.27587678628558,0.628733507687101,1
"75","PDZK1",11.2859396857114,0.00347246476155045,0.158988480240304,1,1
"76","NBPF20",0.191886709597583,-0.0039708084680863,0.229786474273008,1,1
"77","NBPF8",24.595211294996,0.110297679385209,0.180483204574413,1,1
"78","NBPF25P",56.674469952883,0.0957769551236848,0.170041421909141,1,1
"79","NBPF10",83.2821707718485,0.219639670965753,0.164918630800129,1,1
"80","TPM3",1683.50961000036,-0.24682911763384,0.109827414635894,1,1
"81","SMG5",2236.71742908963,0.346015870521855,0.0968481671695287,1,1
"82","GBAP1",109.466476420857,-0.0981493354227412,0.145656991413184,1,1
"83","LOC440700",2.8219774022841,0.0332997280234998,0.198811849147776,1,1
"84","FCGR2A",173.622937281333,0.0296142083273879,0.17637806901279,1,1
"85","PBX1",1680.26641926796,-0.140696380385237,0.126707932048483,1,1
"86","DNM3",3518.3100644016,-0.0172513473128838,0.134746305230612,1,1
"87","TNFSF18",3.49321686492216,-0.05958495829368,0.189941274606765,1,1
