"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","LOC101926975",7.74673546074779,-2.09564244185336,0.336137887436013,-4.44949081242163,8.60741117134107e-06,0.0434553760396326
"2","C6orf223",11.4791736001288,-2.29304168345166,0.379569309449306,-4.46042828359329,8.1796027536514e-06,0.0434553760396326
"3","VGF",869.071256465129,-2.42359676772998,0.318991680683661,-5.71675337683309,1.08578522713869e-08,0.000274084764886619
"4","CRH",14.2543559544295,-2.60081038588194,0.423156311965991,-4.72830093585545,2.26406448288134e-06,0.0199996154721101
"5","RPH3A",2232.80098729605,-1.55791636988818,0.203016404434483,-4.71841855615822,2.37685086623342e-06,0.0199996154721101
